hs6,io185_name,io52_idx,io52_name
040410,DairyPrd,12,FoodMan
040490,DairyPrd,12,FoodMan
040510,DairyPrd,12,FoodMan
040590,DairyPrd,12,FoodMan
040610,DairyPrd,12,FoodMan
040620,DairyPrd,12,FoodMan
040630,DairyPrd,12,FoodMan
040690,DairyPrd,12,FoodMan
040711,PoultryEggs,4,Livestock
040719,PoultryEggs,4,Livestock
040900,OthForestPrd,6,Forestry
041000,OthAnimalPrd,4,Livestock
050100,OthIndustPrd,27,OtherMan
050510,Abattoir,12,FoodMan
050590,Abattoir,12,FoodMan
050610,Abattoir,12,FoodMan
050690,Abattoir,12,FoodMan
050710,OthAnimalPrd,4,Livestock
050790,Abattoir,12,FoodMan
050800,Shrimps,7,Fishery
051000,OthAnimalPrd,4,Livestock
