country,year,ngdp_rpch
BIH,1996,62.2
BIH,1997,22.9
BIH,1998,13.8
BIH,1999,10.7
BIH,2000,4.4
BIH,2001,7.5
BIH,2002,5.0
BIH,2003,3.9
BIH,2004,6.3
BIH,2005,3.9
BIH,2006,5.4
BIH,2007,5.9
BIH,2008,5.4
BIH,2009,-3.0
BIH,2010,0.9
BIH,2011,1.0
BIH,2012,-0.8
BIH,2013,2.3
BIH,2014,1.2
BIH,2015,4.3
BIH,2016,3.2
BIH,2017,3.2
BIH,2018,3.8
BIH,2019,2.9
BIH,2020,-3.0
BIH,2021,7.4
BIH,2022,4.2
BIH,2023,2.0
BIH,2024,3.2
BIH,2025,2.0
