id,id_label,sector_52,emp
3600,BANTEN,19,2520
3600,BANTEN,20,85854
3600,BANTEN,21,102847
3600,BANTEN,22,35474
3600,BANTEN,23,119813
3600,BANTEN,24,33920
3600,BANTEN,25,23816
3600,BANTEN,26,37030
3600,BANTEN,27,47913
3600,BANTEN,28,12143
3600,BANTEN,29,521
3600,BANTEN,30,33827
3600,BANTEN,31,375020
3600,BANTEN,32,18139
3600,BANTEN,33,1177648
3600,BANTEN,34,1939
3600,BANTEN,35,222358
3600,BANTEN,36,4300
3600,BANTEN,37,2083
3600,BANTEN,38,10959
3600,BANTEN,39,136815
3600,BANTEN,40,48518
3600,BANTEN,41,436697
3600,BANTEN,42,42923
3600,BANTEN,43,67973
3600,BANTEN,44,5962
3600,BANTEN,45,490
3600,BANTEN,46,24037
3600,BANTEN,47,68736
3600,BANTEN,48,164269
3600,BANTEN,49,113269
3600,BANTEN,50,305649
3600,BANTEN,51,79026
5100,BALI,1,142477
5100,BALI,2,103427
5100,BALI,3,40989
5100,BALI,4,174456
5100,BALI,5,36305
5100,BALI,6,6138
5100,BALI,7,15140
5100,BALI,9,231
5100,BALI,10,11321
5100,BALI,11,745
5100,BALI,12,86834
5100,BALI,13,4387
5100,BALI,14,57426
5100,BALI,15,1098
5100,BALI,16,65971
